City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,jamestown,42.097,-79.2353,21.68,98,100,2.57,US,1722608066
131,port alberni,49.2413,-124.8028,19.91,79,0,1.21,CA,1722608298
132,caleta de carquin,-11.0925,-77.6267,18.01,78,44,3.27,PE,1722608299
133,puerto lempira,15.2667,-83.7667,29.08,70,40,0.0,HN,1722608300
134,kalmunai,7.4167,81.8167,29.05,73,58,1.52,LK,1722608302
135,xilin hot,43.9667,116.0333,22.59,72,100,2.75,CN,1722608164
136,northam,51.0333,-4.2167,22.44,74,89,7.93,GB,1722608304
137,sitka,57.0531,-135.33,9.94,87,20,0.0,US,1722608306
138,san patricio,28.017,-97.5169,31.62,75,12,1.95,US,1722608307
139,tarauaca,-8.1614,-70.7656,30.94,48,14,2.03,BR,1722608308
140,fada,7.25,4.0667,26.22,84,98,2.53,NG,1722608309
141,cottage grove,44.8277,-92.9438,25.07,79,0,2.06,US,1722608310
142,nelson bay,-32.7167,152.15,8.38,94,8,2.11,AU,1722608311
143,seguela,7.9611,-6.6731,27.36,73,97,4.23,CI,1722608312
144,lorengau,-2.0226,147.2712,27.27,84,65,3.59,PG,1722608313
145,bredasdorp,-34.5322,20.0403,15.02,65,54,2.89,ZA,1722608184
146,hawaiian paradise park,19.5933,-154.9731,22.16,98,100,1.54,US,1722608316
147,nemuro,43.3236,145.575,16.38,88,55,3.66,JP,1722608317
148,khandyga,62.6667,135.6,6.72,82,7,1.16,RU,1722608318
149,brokopondo,4.75,-55.1667,27.94,67,6,1.09,SR,1722608319
150,saguenay,48.4168,-71.0657,26.46,79,20,1.03,CA,1722608124
151,sarina,-21.4333,149.2167,13.48,1,3,1.97,AU,1722608321
152,jiazi,22.8779,116.067,28.29,87,6,3.5,CN,1722608323
153,nova vicosa,-17.8919,-39.3719,23.69,85,31,6.91,BR,1722608325
154,tralee,52.2704,-9.7026,15.14,100,100,4.12,IE,1722608326
